Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Hawaii,South Dakota,N,N
Hawaii,Tennessee,530,486
Hawaii,Texas,"5,174","2,026"
Hawaii,Utah,"1,407",671
Hawaii,Vermont,0,193
Hawaii,Virginia,"3,143","1,389"
Hawaii,Washington,"4,329","1,535"
Hawaii,West Virginia,265,275
Hawaii,Wisconsin,N,N
Hawaii,Wyoming,N,N
Hawaii,Puerto Rico,N,N
Hawaii,U.S. Island Areas,667,586
Hawaii,Foreign country,"12,094","2,191"
Idaho,Alabama,82,125
Idaho,Alaska,938,650
Idaho,Arizona,"4,511","1,645"
Idaho,Arkansas,N,N
Idaho,California,"15,385","2,919"
Idaho,Colorado,"2,295","1,050"
Idaho,Connecticut,0,198
Idaho,Delaware,0,198
Idaho,District of Columbia ,0,198
Idaho,Florida,"1,522",742
Idaho,Georgia,458,429
Idaho,Hawaii,424,247
Idaho,Idaho,X,X
Idaho,Illinois,544,484
Idaho,Indiana,852,962
Idaho,Iowa,309,282
Idaho,Kansas,250,253
Idaho,Kentucky,249,225
Idaho,Louisiana,506,847
Idaho,Maine,0,198
Idaho,Maryland,186,215
Idaho,Massachusetts,N,N
Idaho,Michigan,437,347
Idaho,Minnesota,805,440
Idaho,Mississippi,0,198
Idaho,Missouri,"1,065",901
Idaho,Montana,"2,214","1,018"
Idaho,Nebraska,388,411
Idaho,Nevada,"3,270","1,674"
Idaho,New Hampshire,0,198
Idaho,New Jersey,383,563
Idaho,New Mexico,595,476
Idaho,New York,335,252
Idaho,North Carolina,643,517
Idaho,North Dakota,188,244
Idaho,Ohio,634,451
Idaho,Oklahoma,146,166
Idaho,Oregon,"4,206","1,226"
Idaho,Pennsylvania,935,655
Idaho,Rhode Island,0,198
Idaho,South Carolina,N,N
Idaho,South Dakota,461,383
Idaho,Tennessee,88,105
Idaho,Texas,"2,169","1,185"
Idaho,Utah,"5,417","1,302"
Idaho,Vermont,N,N
Idaho,Virginia,600,372
Idaho,Washington,"17,837","3,554"
Idaho,West Virginia,N,N
Idaho,Wisconsin,416,455
Idaho,Wyoming,699,504
Idaho,Puerto Rico,0,198
Idaho,U.S. Island Areas,163,167
Idaho,Foreign country,"8,112","1,745"
Illinois,Alabama,859,465
Illinois,Alaska,367,385
Illinois,Arizona,"6,130","1,899"
Illinois,Arkansas,"1,361",697
Illinois,California,"15,128","2,843"
Illinois,Colorado,"3,917","1,424"
Illinois,Connecticut,"2,116","1,513"
Illinois,Delaware,868,"1,115"
Illinois,District of Columbia ,761,432
Illinois,Florida,"12,751","2,882"
Illinois,Georgia,"5,242","1,896"
Illinois,Hawaii,375,330
Illinois,Idaho,"1,371",808
Illinois,Illinois,X,X
Illinois,Indiana,"14,098","3,099"
Illinois,Iowa,"6,721","1,744"
Illinois,Kansas,"3,693","1,865"
Illinois,Kentucky,"2,394",710
Illinois,Louisiana,"2,737","1,315"
Illinois,Maine,199,212
Illinois,Maryland,"2,462","1,794"
Illinois,Massachusetts,"4,239","1,561"
Illinois,Michigan,"9,418","2,605"
Illinois,Minnesota,"4,471","1,583"
Illinois,Mississippi,722,430
Illinois,Missouri,"10,892","2,510"
Illinois,Montana,N,N
Illinois,Nebraska,"1,312",599
Illinois,Nevada,"2,130",976
Illinois,New Hampshire,95,136
Illinois,New Jersey,"2,490",788
Illinois,New Mexico,486,415
Illinois,New York,"11,082","3,600"
Illinois,North Carolina,"4,493","1,498"
Illinois,North Dakota,164,173
Illinois,Ohio,"7,372","2,025"
Illinois,Oklahoma,"1,644","1,331"
Illinois,Oregon,"1,114",770
Illinois,Pennsylvania,"4,420","1,679"
Illinois,Rhode Island,N,N
Illinois,South Carolina,683,550
Illinois,South Dakota,343,284
Illinois,Tennessee,"3,992","1,354"
Illinois,Texas,"18,189","3,474"
Illinois,Utah,311,332
Illinois,Vermont,809,850
Illinois,Virginia,"4,974","2,291"
Illinois,Washington,"4,302","1,779"
Illinois,West Virginia,"1,335","1,153"
Illinois,Wisconsin,"14,131","2,749"
Illinois,Wyoming,833,549
Illinois,Puerto Rico,"1,392","1,478"
Illinois,U.S. Island Areas,218,318
Illinois,Foreign country,"93,948","11,590"
Indiana,Alabama,"1,933","1,062"
